S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
qTCaRxt,5,32,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,8,2,6,6
oOHC2XW,5,47,Saudis,Male,Half Million,10,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,10,9,9,2,1,6,6
il9s4E5,5,24,Saudis,Female,Half Million,8,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,4,6,7,4,2,3,5
hetLmJj,5,20,Saudis,Female,Half Million,10,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,8,10,10,0,2,3,7
HoZAIXT,5,43,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
4FLELNM,5,24,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,4,5
xAiYm6B,5,29,Saudis,Male,Half Million,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,5,5,6,1,5,5
CBbEoUa,5,31,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,9,5,6,6,0,7,6
MQanYaq,5,33,Saudis,Female,Half Million,9,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,99,6,1,2,2,2
LURQcrL,5,29,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
iLj9Hak,5,28,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,6,6,7,6,2,5,5
h9Gu3qB,5,35,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,8,1,4,6
fo3ornX,5,30,Saudis,Male,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,8,9,1,6,6
4BQgEvr,5,35,Saudis,Male,Half Million,9,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,10,8,8,1,6,6
cmA2v3k,5,30,Saudis,Male,Half Million,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,3,1,5,5
sGwnjMU,5,19,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,9,9,6,99,1,6,5
hpMaM5K,5,27,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,2,7,7
YUqNME0,5,20,Saudis,Female,Half Million,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,7,7
L4nnnEH,5,30,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,10,1,2,7,7
OKe9qSn,5,27,Saudis,Female,Half Million,10,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,10,10,10,10,2,6,6
mTD4Enu,5,28,Saudis,Male,Half Million,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,6,8,10,2,3,7
iEdydvN,5,33,Saudis,Male,Half Million,9,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,8,9,8,8,1,7,4
3nR7hqE,5,29,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,10,9,10,8,1,7,7
ZUtXWRi,5,34,Saudis,Male,Half Million,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,10,0,0,6,5
RUrZaoj,5,34,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,1
bwfOgaB,5,28,Saudis,Male,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,7,7
ituqdHD,5,37,Saudis,Female,Half Million,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,9,4,4
fWLIK5N,5,44,Saudis,Female,Half Million,7,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,9,10,9,9,2,6,6
RKjr47z,5,20,Saudis,Female,Half Million,8,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,9,8,7,8,1,5,4
u0k9Kp2,5,42,Saudis,Female,Half Million,9,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,8,9,3,1,7,5
393Mzew,5,44,Saudis,Male,Half Million,10,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,9,9,9,8,1,5,6
TsxxdQ1,5,55,Syrian,Female,Half Million,10,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,9,9,9,9,1,6,6
3V3QfHx,5,38,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,10,10,10,8,1,7,7
wkwP28y,5,32,Saudis,Male,Half Million,3,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,9,4,6,0,6,6
CajD1AT,5,20,Saudis,Female,Half Million,6,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,6,5,6,5,1,5,4
jDr7e7U,5,50,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,10,10,10,10,2,7,7
HxsNZYB,5,25,Saudis,Female,Half Million,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,9,5,1,5,4
CBx36IG,5,38,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,6,2,7,7
XwrnDSF,5,29,Saudis,Female,Half Million,10,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,9,10,10,7,0,5,4
eKy1ohl,5,25,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,1,7,7
lzVLs0X,5,43,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,2,7
WR5UfpS,5,48,Saudis,Female,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,8,7,1,7,6
rFJ9w8y,5,24,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,6,0,5,6
Dg9iSn9,5,26,Saudis,Female,Half Million,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,8,9,1,5,4
767tuG3,5,21,Saudis,Female,Half Million,5,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,8,5,8,0,1,4,3
qFYf3TZ,5,34,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,8,8,1,6,5
pfOLDYX,5,30,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
Mq9nacB,5,24,Egyptian,Male,Half Million,10,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,3,2,8,2,3,3
lZmlRPx,5,33,Saudis,Female,Half Million,5,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,4,4,4,4,1,6,6
ivuvSLr,5,29,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,10,1,7,7
F7lQiRC,5,18,Saudis,Male,Half Million,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1,1,4,4
WJVDrIZ,5,25,Saudis,Male,Half Million,10,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,10,10,10,3,2,5,7
NQTcSRg,5,25,"Westerners (European, American)",Male,Half Million,10,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,10,10,5,6,1,6,6
t7tVFoi,5,24,Saudis,Female,Half Million,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,2,3,2
9PpkJJt,5,35,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,5,6
s7NSUDJ,5,30,Saudis,Male,Half Million,6,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,9,7,7,7,2,6,5
nXtV6T7,5,42,Saudis,Male,Half Million,10,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,10,10,10,0,1,4,7
601Ng0D,5,38,Saudis,Female,Half Million,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,0,1,4,4
Z3wwrBF,5,50,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,5,6
Eoe88Fg,5,30,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,2,6,7
UNL4RR0,5,34,Sudanese,Male,Half Million,8,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,7,6,7,0,2,2,3
JRB1XQA,5,28,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,10,10,7,10,2,7,3
ucUlt7x,5,24,Saudis,Female,Half Million,10,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,10,8,10,6,1,7,5
PMLjfQA,5,36,Saudis,Female,Half Million,10,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,8,9,8,4,1,6,5
4nrbUA4,5,33,Saudis,Male,Half Million,7,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,8,9,8,5,1,5,4
vJpfhEu,5,40,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,1,6,6
lN5SCnh,5,27,Saudis,Female,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,8,8,1,3,5
X8MRX5W,5,27,Saudis,Female,Half Million,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,6,3,3,1,1,5,4
oZBhN5W,5,28,Saudis,Female,Half Million,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,6,4,0,4,6
CLsaYOC,5,27,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,2,5,1
2vafhfy,5,24,Saudis,Female,Half Million,9,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,3,1,1,0,4,3
mEthtTs,5,42,Saudis,Male,Half Million,10,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,9,8,9,1,6,4
mvLyupS,5,32,Saudis,Female,Half Million,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,1,7,7
nJXHM73,5,43,Palestinian,Male,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,1,7,7
XzTNVDv,5,27,Saudis,Female,Half Million,9,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,10,9,10,9,2,3,4
B9YvqOL,5,24,Saudis,Female,Half Million,9,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,10,6,7,0,1,4,7
Ho6lTl4,5,45,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,10,10,10,6,1,6,6
sl1cdPj,5,34,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,9,1,2,6,6
4ZFu2nl,5,43,Saudis,Male,Half Million,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,9,4,0,5,4
RxbtouQ,5,37,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,0,7,6
2yHtNge,5,36,Saudis,Male,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,8,10,1,5,3
9wUvKQp,5,38,Saudis,Female,Half Million,10,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,10,10,10,4,1,7,7
paOZYmV,5,40,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,5,9,1,5,5
45bU8nf,5,36,Saudis,Female,Half Million,8,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,9,8,7,9,1,6,6
laZ8Uzt,5,31,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,4,10,2,6,7
jdflj76,5,32,Saudis,Male,Half Million,5,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,6,5,4,6,9,2,3
W3M0t2d,5,33,Saudis,Male,Half Million,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,3,4,1,5,4
VP9feK1,5,28,Saudis,Male,Half Million,4,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,3,3,10,10,2,5,5
1P6Db2q,5,30,Saudis,Male,Half Million,9,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,9,10,4,9,5,3
FK8usj3,5,39,Sudanese,Male,Half Million,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,9,10,9,1,6,6
TBOMe2n,5,37,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,10,8,1,7,7
GKFXqem,5,29,Saudis,Male,Half Million,5,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,5,8,4,1,5,5
hdVMwgi,5,31,Saudis,Male,Half Million,7,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,8,7,7,6,1,5,4
nDYYapG,5,35,Saudis,Female,Half Million,9,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,9,10,10,9,0,7,7
6zwLiex,5,28,Saudis,Female,Half Million,10,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,10,10,10,8,1,7,6
qRukAeg,5,31,Saudis,Female,Half Million,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,9,10,2,6,7
rIgaxlo,5,27,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,2,1,5,2
Ekt0bD1,5,24,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,9,1,1,2,6
BAf6Lr2,5,24,Saudis,Male,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,5,1,6,6
6LqlIKT,5,30,Saudis,Male,Half Million,10,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,10,10,9,2,1,7,7
C8vuLVS,5,23,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,5,8,6,5,0,4,5
hUoWQEP,5,26,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,8,10,4,1,7,7
tHyuTUD,5,21,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,6,1,7,7
lKxrAmi,5,22,Saudis,Female,Half Million,6,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,5,5,5,4,2,2,5
kfcQjBT,5,29,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,9,9,8,3,1,5,3
gCKiScK,5,28,Saudis,Male,Half Million,6,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,7,6,5,9,0,5,5
psh87cs,5,28,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,9,10,2,1,6,6
lcGmUOY,5,23,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,10,10,2,6,6
avgTkBF,5,30,Egyptian,Female,Half Million,10,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,10,10,10,2,1,6,5
n9EFXmg,5,21,Saudis,Male,Half Million,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,6,0,3,2,1,4
wFz68FI,5,34,Saudis,Male,Half Million,9,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,8,8,10,1,1,2,3
GyCV22W,5,43,Saudis,Female,Half Million,99,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,9,10,99,0,1,5,5
XCvLnW9,5,34,Philippines,Female,Half Million,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,7,1,6,6
bTJECGo,5,26,Saudis,Female,Half Million,10,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,5,5,0,1,2,3
byZljPN,5,25,Saudis,Male,Half Million,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,10,9,5,5,1,6,6
XkAu3sV,5,27,Saudis,Female,Half Million,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,1,1,4,4
ML5dyqu,5,28,Saudis,Male,Half Million,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,7,7
PiCc6tn,5,28,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,4,5,0,5,5
h7VQVWF,5,29,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,2,4,4
xQ2eVv4,5,25,Saudis,Male,Half Million,10,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,10,10,9,8,1,5,5
ZoytwD4,5,27,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,2,7,7
TzCRWc8,5,24,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,1,7,7
7P5A0kD,5,34,Egyptian,Male,Half Million,10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,9,10,6,1,4,6
